Student_ID,Student_Name,Gender,Age,Department,Year,City,Study_Hours_Per_Day,Attendance_Percentage,Assignment_Score,Internal_Marks,Sleep_Hours,Screen_Time_Hours,Commute_Time_Minutes,Previous_GPA,Extracurricular_Hours,Internet_Access,Internet_Quality,Hostel,Scholarship,Study_Method,Stress_Level,Fees_Paid,Enrollment_Date,Last_Exam_Date,Internship,Projects_Completed,Final_Score,Grade,Pass_Fail,Placement_Status,Starting_Salary_LPA,Library_Books_Issued
103859,Sneha Das,Male,21.0,Computer Science,1st Year,Bangalore,6.66,99.76,82.98,60.29,7.45,4.62,69.2,4.74,5.9,Yes,Average,No,No,Online,4.97,Yes,2021-12-17,2022-09-03,No,3,70.41,A,Pass,Not Placed,,8
104505,Aman Gupta,Other,25.0,Computer Science,3rd Year,Delhi,5.84,67.89,61.13,58.91,7.74,4.82,53.5,5.57,4.6,Yes,Average,No,Yes,Classroom,3.98,Yes,2022-05-24,2022-10-22,No,1,64.7,B,Pass,Not Placed,,10
106699,Priya Kapoor,Female,20.0,Data Science,Final Year,Chennai,4.02,81.07,44.99,80.38,6.43,4.69,57.1,7.1,3.51,Yes,Average,No,No,Classroom,8.02,Yes,2023-07-21,2024-02-24,Yes,2,62.8,B,Pass,Looking for Job,,4
111767,Rahul Sharma,Female,19.0,Computer Science,3rd Year,Chennai,6.59,84.09,48.82,52.0,4.31,6.23,23.5,7.65,0.0,Yes,Average,No,No,Online,5.06,Yes,2021-08-01,2022-05-05,Yes,3,53.43,C,Pass,Placed,7.64,4
111270,Aarav Sharma,Female,20.0,Data Science,2nd Year,Kolkata,1.68,78.53,43.33,100.0,6.96,4.12,31.0,9.39,1.99,Yes,Good,No,No,Self Study,4.37,No,2025/05/19,28/10/2025,Yes,4,67.52,B,Pass,Not Placed,,9
101513,Priya Reddy,Other,20.0,Data Science,1st Year,Chennai,6.65,74.33,70.23,76.34,7.8,8.03,49.4,7.01,0.0,Yes,GOOD,Yes,Yes,Self-study,4.97,Yes,2023-03-19,2023-07-21,No,0,74.84,A,Pass,Not Placed,,11
107473,Ishaan Das,Male,17.0,Commerce,1st Year,KOCHI,7.79,93.67,68.69,70.25,6.39,5.04,38.0,6.75,1.69,Yes,Average,Yes,No,Classroom,3.46,Yes,2022-08-18,2023-02-11,Yes,3,76.98,A,Pass,Placed,6.1,9
106936,Aarav Nair,OTHER,24.0,Electronics,1st Year,Kolkata,5.02,,81.66,35.62,3.41,7.09,73.2,6.34,6.53,Yes,Average,Yes,No,Coaching,6.57,Yes,2021-06-24,2021-11-28,Yes,0,63.54,B,Pass,Placed,4.87,5
101419,Riya Kapoor,Male,19.0,Electronics,1st Year,Mumbai,3.11,81.34,59.97,73.8,5.85,8.68,55.1,6.77,3.74,No,Excellent,Yes,Yes,Classroom,7.09,Yes,2022-07-21,2023-03-20,Yes,4,46.16,D,Pass,Placed,5.05,6
108286,Ananya Gupta,male,25.0,Mechanical,1st Year,Kolkata,6.71,77.21,83.63,58.18,8.1,5.62,97.9,6.37,5.11,Yes,Excellent,No,No,Classroom,3.77,Yes,2022-05-16,2023-01-28,Yes,4,78.77,A,Pass,Not Placed,,12
105405,Riya Sharma,Other,19.0,Data Science,2nd Year,Mysore,5.27,74.54,51.72,67.34,7.52,6.62,19.8,8.03,2.03,Yes,Good,No,Yes,Mixed,3.91,Yes,2022-05-16,2022-09-11,No,6,62.35,B,Pass,Higher Studies,,6
109457,Rahul Singh,Other,24.0,Information Technology,Final Year,Bangalore,8.45,71.91,62.29,74.4,7.09,2.55,27.5,7.18,1.91,Yes,Good,No,Yes,Mixed,3.54,Yes,2021-09-03,2022-01-31,Yes,1,67.97,B,Pass,Placed,3.15,6
105172,Isha Das,Female,24.0,Electronics,2nd Year,Chennai,6.82,88.8,94.53,91.66,7.08,3.46,76.6,7.66,2.66,No,Excellent,Yes,Yes,Online,7.49,Yes,2022-10-03,2023-01-31,No,1,96.56,A+,Pass,Placed,5.37,14
110982,Priya Khan,Female,22.0,Information Technology,2nd Year,Bangalore,5.02,80.74,65.04,51.8,6.16,3.06,48.4,8.56,2.71,No,Good,No,No,Self Study,4.65,Yes,2023-04-02,2023-07-16,No,2,81.94,A+,Pass,Looking for Job,,10
102555,Rahul Joshi,Female,19.0,Computer Science ,Final Year,Delhi,5.8,75.08,67.16,61.36,4.56,4.12,65.7,7.96,3.05,Yes,Good,Yes,No,Online,8.32,No,2022-03-03,2022-10-18,No,0,80.34,A+,Pass,Not Placed,,6
111057,Priya Das,Male,17.0,Commerce,2nd Year,mumbai,3.73,72.32,64.27,58.67,7.15,6.36,68.6,6.7,1.08,Yes,Poor,No,No,Mixed,7.09,Yes,2022-10-28,2023-02-10,No,4,61.16,B,Pass,Not Placed,,6
110624,Aman Nair, Female,23.0,Data Science,Final Year,Delhi,7.46,88.72,95.3,80.35,5.95,7.05,61.5,9.49,0.0,Yes,Excellent,No,No,classroom,2.76,Yes,2022-07-30,2022-12-12,Yes,1,96.16,A+,Pass,Placed,3.52,4
109004,Sneha Malhotra,Female,18.0,Information Technology,Final Year,Pune,5.0,63.77,48.4,94.57,5.95,3.92,27.0,8.13,2.6,Yes,GOOD,Yes,Yes,Online,5.39,No,2022-08-26,2022-12-01,Yes,2,64.45,B,Pass,Placed,6.33,6
106078,Ananya Patel,Female,24.0,Computer Science,3rd Year,Chennai,5.99,74.96,67.48,71.86,8.42,4.94,65.0,8.01,1.06,Yes,Good,Yes,No,Self Study,3.94,Yes,2024-08-30,2025-01-09,No,1,74.55,A,Pass,Higher Studies,,8
109352,Aisha Joshi,Male,21.0,Commerce,3rd Year,Bangalore,4.33,59.83,46.04,64.43,6.09,3.4,5.0,8.39,1.67,Yes,Good,Yes,No,Online,6.44,Yes,2023-12-13,2024-09-03,Yes,3,62.51,B,Pass,Higher Studies,,5
110562,Aarav Patel,Female,24.0,IT,1st Year,Bangalore,3.05,77.55,63.96,57.8,8.09,5.51,81.2,6.86,0.0,No,Good,No,No,Classroom,3.48,Yes,2022-04-20,2022-11-21,Yes,1,55.36,C,Pass,Not Placed,,9
108115,Isha Joshi,Female,24.0,Business Administration,Final Year,Kolkata,7.34,77.48,44.3,56.94,4.24,6.83,40.6,9.35,3.84,Yes,Good,Yes,No,Coaching,5.72,Yes,2024-01-23,2024-05-06,No,1,80.52,A+,Pass,Higher Studies,,8
111708,Nisha Iyer,Male,22.0,Electronics,3rd Year,Hyderabad,8.27,78.37,99.65,67.6,6.82,4.55,34.5,7.04,0.0,Yes,Average,No,No,Classroom,3.85,Yes,2021-10-28,2022-05-26,Yes,5,88.91,A+,Pass,Looking for Job,,8
109543,Kabir Das,Male,22.0,computer science,1st Year,Coimbatore,3.08,74.95,72.8,57.38,7.61,2.35,96.6,9.67,5.11,Yes,Good,No,Yes,Mixed,3.95,Yes,2021-06-28,2022-01-16,Yes,2,67.56,B,Pass,Not Placed,,9
102329,Aarav Singh,Male,24.0,Mechanical,2nd Year, Bangalore,2.22,70.65,95.25,64.33,6.47,8.2,16.5,6.94,1.04,Yes,Good,No,No,Classroom ,4.73,No,2023-01-27,2023-07-04,No,4,63.95,B,Pass,Placed,4.03,10
103843,Aisha Patel, Male,25.0,Commerce,3rd Year,Bangalore,2.73,66.11,87.8,57.48,7.07,4.34,42.2,8.95,3.99,Yes,Good,Yes,No,Self Study,2.87,Yes,2021-08-04,2022-01-08,No,2,67.04,B,Pass,Not Placed,,3
105946,Karan Gupta,Female,22.0,Information Technology,1st Year,Delhi,9.0,69.35,43.87,42.84,6.23,4.02,71.4,7.15,3.0,Yes,Average,Yes,Yes,Mixed,5.88,No,2024-11-08,2025-04-12,No,1,73.31,A,Pass,Placed,5.66,6
104376,Neha Rao,Male,17.0,Information Technology,3rd Year,Coimbatore,0.5,72.6,41.04,66.93,6.44,4.48,47.4,7.83,1.43,No,Good,Yes,No,Coaching,5.46,Yes,2023-03-09,2023-11-18,Yes,1,54.14,C,Pass,Placed,9.78,10
108026,Isha Patel,,22.0,Data Science,3rd Year,Mysore,3.6,86.31,96.27,87.97,10.0,4.55,52.1,9.12,2.26,Yes,Good,Yes,No,Mixed,1.59,Yes,03/04/2025,2025/07/13,Yes,2,94.49,A+,Pass,Looking for Job,,6
110509,Ananya Reddy,Male,21.0,Business Administration,2nd Year,Hyderabad,1.44,80.44,78.85,68.07,7.56,3.21,68.4,7.27,3.06,Yes,Good,No,No,Mixed,3.18,Yes,2022-09-07,2023-01-25,No,3,70.93,A,Pass,Not Placed,,7
109288,Isha Reddy,Female,21.0,Mechanical,Final Year,BANGALORE,7.89,86.55,65.59,71.56,5.63,8.57,60.2,6.43,3.85,Yes,Good,No,No,Mixed,6.64,Yes,2022-03-08,2022-10-30,No,1,73.91,A,Pass,Not Placed,,5
108329,Vivek Mehta,Female,18.0,Data Science,Final Year,Mysore,3.28,82.55,62.07,80.16,8.98,6.59,36.8,8.3,2.82,Yes,Good,No,No,Classroom,5.6,Yes,2023-03-02,2023-06-06,Yes,2,84.28,A+,Pass,Higher Studies,,8
110485,Riya Kapoor,Female,23.0,Computer Science,3rd Year,Mumbai,6.14,95.15,77.87,77.4,8.64,7.16,53.8,6.31,2.95,Yes,Good,No,No,Coaching ,4.26,Yes,2024/06/28,11/09/2024,No,2,85.57,A+,Pass,Placed,6.35,7
105502,Aisha Shetty,Female,22.0,Computer Science,2nd Year,Delhi,6.87,84.8,66.59,75.31,6.34,8.27,50.6,7.12,1.5,No,Good,Yes,No,Self Study,7.31,Yes,2021-07-29,2021-11-15,Yes,3,79.3,A,Pass,Not Placed,,7
107326,Priya Iyer,Male,17.0,Data Science,3rd Year,Chennai,7.6,51.39,100.0,53.41,7.4,7.5,63.6,3.95,4.51,Yes,Good,Yes,No,Mixed,6.74,Yes,2025-01-25,2025-08-18,No,6,70.41,A,Pass,Not Placed,,9
110055,Meera Gupta,Female,23.0,Data Science,2nd Year,Delhi,5.48,64.97,42.93,62.11,5.12,3.08,56.0,6.4,0.75,Yes,Average,No,Yes,Classroom,4.38,Yes,2022-07-07,2023-03-17,Yes,2,57.01,C,Pass,Not Placed,,8
103001,Kavya Iyer,Female,18.0,Commerce,Final Year,Chennai,5.85,90.67,69.43,85.98,4.94,5.95,69.7,8.09,3.02,No,Average,Yes,No,Mixed,6.02,Yes,2023-09-12,2024-04-08,Yes,1,90.83,A+,Pass,Higher Studies,,5
100358,Riya Kapoor,Male,24.0,Computer Science,Final Year,mysore,1.46,73.02,53.11,52.21,6.07,5.99,64.9,7.22,1.48,Yes,Average,No,No,Classroom,3.84,Yes,2023-02-28,2023-08-07,Yes,4,54.15,C,Pass,Placed,4.83,7
105355,Ishaan Kapoor,Female,25.0,Computer Science,3rd Year,Mumbai,8.08,83.95,84.85,87.62,5.03,4.93,62.5,9.32,5.19,Yes, Excellent,Yes,No,Online,4.92,No,2021/07/30,25/10/2021,Yes,3,86.74,A+,Pass,Not Placed,,6
109303,Meera Joshi,Male,20.0,COMMERCE,2nd Year,Bangalore,5.02,78.63,68.69,53.11,7.34,4.23,28.0,7.9,0.0,Yes,Good,No,Yes,Classroom,3.41,No,2022-12-10,2023-04-04,Yes,3,76.81,A,Pass,Higher Studies,,10
100397,Diya Nair,Female,19.0,Data Science,3rd Year,Delhi,3.4,73.0,89.81,55.16,5.16,2.08,52.9,7.29,5.51,Yes,Good,No,No,Mixed,4.25,Yes,2022-07-29,2023-05-04,Yes,2,81.26,A+,Pass,Higher Studies,,9
110751,Meera Iyer,MALE,22.0,Computer Science,Final Year,Mysore,9.0,59.85,100.0,52.97,8.99,7.18,53.1,7.22,0.95,Yes,Good,Yes,No,Self Study,2.34,Yes,2022-07-31,2023-02-21,No,3,74.8,A,Pass,Not Placed,,13
107835,Arjun Kapoor,Male,22.0,Mechanical,3rd Year,Hyderabad,5.25,77.48,67.98,64.54,7.6,7.44,90.2,6.51,1.2,Yes, Good,No,Yes,Self Study,7.23,Yes,2022-03-14,2022-06-19,No,4,76.92,A,Pass,Placed,3.69,5
107192,Sneha Singh,Female,19.0,Data Science,Final Year,Chennai,6.63,93.6,71.67,88.3,6.68,5.96,116.4,7.58,1.23,Yes,Average,Yes,No,Coaching,5.69,Yes,2022-08-21,2023-03-30,No,4,72.1,A,Pass,Placed,6.59,10
